2025-07-10 04:05:04 - root - WARNING - Expected return 222 neighbors for ('Cl', 'H') system, but only found 50, please check cutoff value.
2025-07-10 04:05:04 - root - WARNING - Expected return 222 neighbors for ('Cl', 'H') system, but only found 45, please check cutoff value.
2025-07-10 04:05:04 - root - WARNING - Expected return 222 neighbors for ('Cl', 'H') system, but only found 101, please check cutoff value.
2025-07-10 04:05:04 - root - WARNING - Expected return 222 neighbors for ('Cl', 'H') system, but only found 67, please check cutoff value.
2025-07-10 04:05:04 - root - WARNING - Expected return 112 neighbors for ('Cl', 'O') system, but only found 31, please check cutoff value.
2025-07-10 04:05:04 - root - WARNING - Expected return 112 neighbors for ('Cl', 'O') system, but only found 52, please check cutoff value.
2025-07-10 04:05:04 - root - WARNING - Expected return 112 neighbors for ('Cl', 'O') system, but only found 24, please check cutoff value.
2025-07-10 04:05:04 - root - WARNING - Expected return 112 neighbors for ('Cl', 'O') system, but only found 40, please check cutoff value.
2025-07-10 04:05:04 - root - WARNING - Expected return 222 neighbors for ('Cl', 'H') system, but only found 91, please check cutoff value.
2025-07-10 04:05:04 - root - WARNING - Expected return 222 neighbors for ('Cl', 'H') system, but only found 48, please check cutoff value.
2025-07-10 04:05:04 - root - WARNING - Expected return 222 neighbors for ('Cl', 'H') system, but only found 60, please check cutoff value.
2025-07-10 04:05:04 - root - WARNING - Expected return 112 neighbors for ('Cl', 'O') system, but only found 47, please check cutoff value.
2025-07-10 04:05:04 - root - WARNING - Expected return 222 neighbors for ('Cl', 'H') system, but only found 104, please check cutoff value.
2025-07-10 04:05:04 - root - WARNING - Expected return 112 neighbors for ('Cl', 'O') system, but only found 29, please check cutoff value.
2025-07-10 04:05:04 - root - WARNING - Expected return 112 neighbors for ('Cl', 'O') system, but only found 33, please check cutoff value.
2025-07-10 04:05:04 - root - WARNING - Expected return 112 neighbors for ('Cl', 'O') system, but only found 56, please check cutoff value.
2025-07-10 04:05:04 - root - WARNING - Expected return 222 neighbors for ('Cl', 'H') system, but only found 49, please check cutoff value.
2025-07-10 04:05:05 - root - WARNING - Expected return 222 neighbors for ('Cl', 'H') system, but only found 96, please check cutoff value.
2025-07-10 04:05:05 - root - WARNING - Expected return 222 neighbors for ('Cl', 'H') system, but only found 107, please check cutoff value.
2025-07-10 04:05:05 - root - WARNING - Expected return 222 neighbors for ('Cl', 'H') system, but only found 50, please check cutoff value.
2025-07-10 04:05:05 - root - WARNING - Expected return 112 neighbors for ('Cl', 'O') system, but only found 25, please check cutoff value.
2025-07-10 04:05:05 - root - WARNING - Expected return 112 neighbors for ('Cl', 'O') system, but only found 55, please check cutoff value.
2025-07-10 04:05:05 - root - WARNING - Expected return 112 neighbors for ('Cl', 'O') system, but only found 47, please check cutoff value.
2025-07-10 04:05:05 - root - WARNING - Expected return 112 neighbors for ('Cl', 'O') system, but only found 28, please check cutoff value.
2025-07-10 04:05:05 - root - WARNING - Expected return 222 neighbors for ('Cl', 'H') system, but only found 57, please check cutoff value.
2025-07-10 04:05:05 - root - WARNING - Expected return 222 neighbors for ('Cl', 'H') system, but only found 71, please check cutoff value.
2025-07-10 04:05:05 - root - WARNING - Expected return 222 neighbors for ('Cl', 'H') system, but only found 100, please check cutoff value.
2025-07-10 04:05:05 - root - WARNING - Expected return 222 neighbors for ('Cl', 'H') system, but only found 102, please check cutoff value.
2025-07-10 04:05:05 - root - WARNING - Expected return 112 neighbors for ('Cl', 'O') system, but only found 30, please check cutoff value.
2025-07-10 04:05:05 - root - WARNING - Expected return 112 neighbors for ('Cl', 'O') system, but only found 38, please check cutoff value.
2025-07-10 04:05:05 - root - WARNING - Expected return 112 neighbors for ('Cl', 'O') system, but only found 51, please check cutoff value.
2025-07-10 04:05:05 - root - WARNING - Expected return 112 neighbors for ('Cl', 'O') system, but only found 50, please check cutoff value.
2025-07-10 04:05:05 - root - WARNING - Expected return 222 neighbors for ('Cl', 'H') system, but only found 95, please check cutoff value.
2025-07-10 04:05:05 - root - WARNING - Expected return 112 neighbors for ('Cl', 'O') system, but only found 50, please check cutoff value.
2025-07-10 04:05:06 - root - WARNING - Expected return 222 neighbors for ('Cl', 'H') system, but only found 96, please check cutoff value.
2025-07-10 04:05:06 - root - WARNING - Expected return 222 neighbors for ('Cl', 'H') system, but only found 59, please check cutoff value.
2025-07-10 04:05:06 - root - WARNING - Expected return 222 neighbors for ('Cl', 'H') system, but only found 102, please check cutoff value.
2025-07-10 04:05:06 - root - WARNING - Expected return 112 neighbors for ('Cl', 'O') system, but only found 46, please check cutoff value.
2025-07-10 04:05:06 - root - WARNING - Expected return 112 neighbors for ('Cl', 'O') system, but only found 33, please check cutoff value.
2025-07-10 04:05:06 - root - WARNING - Expected return 112 neighbors for ('Cl', 'O') system, but only found 53, please check cutoff value.
2025-07-10 04:05:07 - root - INFO - RDF running time: 3.36s.
2025-07-10 04:05:09 - root - INFO - RDF running time: 2.78s.
